piece,len,aveb,rng,hip,ata,ivv,harm,ins,tb,phist,ihist
7th_Heaven.mid,63.0,13.396825396825397,55,79,0.25769230769230766,"[6, 7, 6, 6, 8, 3]",C,"{'Electric Bass', 'Voice', None, 'Piano'}","[2, 4]","[111, 7, 168, 0, 81, 2, 186, 128, 0, 53, 0, 108]","[175, 29, 74, 23, 79, 52, 18, 30, 0, 17, 1, 21]"
90210.mid,86.8047779083329,16.842390882491436,67,94,0.1890715667311412,"[10, 10, 10, 10, 10, 5]",C,"{'Saxophone', None}","[2, 4]","[265, 79, 142, 196, 8, 151, 0, 100, 269, 28, 220, 4]","[255, 64, 55, 109, 26, 111, 36, 46, 78, 13, 56, 2]"
Angel.mid,51.624772249999864,17.569084772088313,90,126,0.17372349131015524,"[10, 10, 10, 10, 10, 5]",G,"{'Piano', 'Church Bells', None, 'Violoncello', 'Vibraphone', 'Fretless Bass'}","[4, 4]","[144, 6, 109, 0, 129, 9, 230, 85, 12, 92, 3, 88]","[93, 14, 46, 102, 96, 20, 95, 30, 0, 20, 2, 9]"
Art_Bell.mid,221.99977800000664,29.07660565318136,58,87,0.12362637362637363,"[6, 7, 6, 6, 8, 3]",Eb,{None},"[4, 4]","[1405, 2, 1198, 722, 0, 305, 1562, 753, 8, 0, 500, 0]","[1481, 315, 162, 600, 836, 34, 532, 22, 106, 0, 30, 0]"
Baywatch.mid,205.99999999999267,31.70388349514676,62,88,0.12084592145015106,"[12, 12, 12, 12, 12, 6]",C,"{'Voice', 'Electric Organ', None, 'Pan Flute', 'StringInstrument'}","[4, 4]","[1003, 50, 1252, 7, 344, 88, 935, 1731, 8, 653, 23, 437]","[1569, 279, 316, 173, 470, 453, 215, 331, 10, 163, 16, 22]"
Benjy_shelton__-_Lazy_Town_We_are_number_one_.mid,134.64291100000244,53.266822194596415,68,95,0.10649144669763226,"[12, 12, 12, 12, 12, 6]",Ab,"{'Trumpet', 'Piano', 'Clarinet', 'Trombone', None, 'Violin', 'Violoncello', 'Horn', 'Acoustic Bass'}","[4, 4]","[1327, 1150, 412, 271, 319, 1015, 794, 191, 746, 277, 239, 431]","[2938, 231, 311, 360, 421, 268, 133, 247, 126, 31, 17, 87]"
Beverly_Hillbillys.mid,73.81041666666677,21.7990911400265,43,74,0.11962809917355371,"[2, 5, 4, 3, 6, 1]",G,"{'Acoustic Bass', None, 'Banjo'}","[4, 4]","[92, 0, 510, 0, 44, 0, 138, 479, 0, 190, 0, 156]","[599, 4, 64, 34, 126, 54, 0, 102, 0, 86, 0, 0]"
Bewitched.mid,46.62855199999994,18.529419485297357,67,98,0.12307692307692307,"[12, 12, 12, 12, 12, 6]",,"{'Glockenspiel', 'Harp', 'Brass', 'Piano', 'Timpani', 'Xylophone', 'Horn', 'Acoustic Bass', 'StringInstrument', 'Flute'}","[4, 4]","[123, 4, 137, 5, 110, 104, 42, 107, 10, 86, 97, 39]","[161, 35, 120, 54, 25, 31, 40, 25, 17, 22, 14, 6]"
Blake_Neely_-_.mid,170.0600000000008,15.717981888745076,44,94,0.15879017013232513,"[4, 5, 6, 5, 6, 2]",F,"{'Viola', 'Flute', 'Trumpet', 'Violin'}","[4, 4]","[102, 2, 450, 0, 138, 925, 0, 218, 0, 503, 335, 0]","[1339, 117, 83, 163, 124, 46, 4, 33, 31, 10, 30, 0]"
Bob_The_Builder.mid,179.10440000000023,8.140503527551518,47,83,0.23454157782515994,"[12, 12, 12, 12, 12, 6]",,"{'Electric Organ', 'Flute', None, 'Voice'}","[4, 4]","[107, 35, 330, 42, 153, 4, 172, 171, 32, 262, 19, 131]","[360, 44, 41, 104, 119, 99, 47, 97, 24, 19, 0, 5]"
